,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
151933,CW208636,3,1,,8,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 08:00:00
151936,CW208634,3,1,,6,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 06:00:00
151940,CW208632,3,1,,3,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 03:00:00
151943,CW208630,3,1,,1,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-08 01:00:00
151947,CW208628,3,1,,23,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-07 23:00:00
151950,CW208626,3,1,,21,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-07 21:00:00
151952,CW208625,3,1,,20,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-07 20:00:00
151955,CW208624,3,1,,19,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-07 19:00:00
151958,CW208622,3,1,,17,Colony weight,Automatic recording,23.2,G167A,Kilogram,,,,2019-07-07 17:00:00
151962,CW208620,3,1,,15,Colony weight,Automatic recording,23.1,G167A,Kilogram,,,,2019-07-07 15:00:00
151965,CW208618,3,1,,13,Colony weight,Automatic recording,23.3,G167A,Kilogram,,,,2019-07-07 13:00:00
151969,CW208616,3,1,,11,Colony weight,Automatic recording,23.4,G167A,Kilogram,,,,2019-07-07 11:00:00
151972,CW208614,3,1,,9,Colony weight,Automatic recording,23.3,G167A,Kilogram,,,,2019-07-07 09:00:00
151976,CW208612,3,1,,7,Colony weight,Automatic recording,23.6,G167A,Kilogram,,,,2019-07-07 07:00:00
151979,CW208610,3,1,,4,Colony weight,Automatic recording,23.7,G167A,Kilogram,,,,2019-07-07 04:00:00
151982,CW208609,3,1,,3,Colony weight,Automatic recording,23.7,G167A,Kilogram,,,,2019-07-07 03:00:00
151985,CW208608,3,1,,2,Colony weight,Automatic recording,23.7,G167A,Kilogram,,,,2019-07-07 02:00:00
151988,CW208606,3,1,,0,Colony weight,Automatic recording,23.8,G167A,Kilogram,,,,2019-07-07 00:00:00
151992,CW208604,3,1,,22,Colony weight,Automatic recording,23.9,G167A,Kilogram,,,,2019-07-06 22:00:00
151995,CW208602,3,1,,20,Colony weight,Automatic recording,23.9,G167A,Kilogram,,,,2019-07-06 20:00:00
151999,CW208600,3,1,,18,Colony weight,Automatic recording,24.0,G167A,Kilogram,,,,2019-07-06 18:00:00
152002,CW208598,3,1,,16,Colony weight,Automatic recording,23.9,G167A,Kilogram,,,,2019-07-06 16:00:00
152006,CW207529,3,1,,2,Colony weight,Automatic recording,20.6,G167A,Kilogram,,,,2019-05-21 02:00:00
152009,CW207527,3,1,,0,Colony weight,Automatic recording,20.5,G167A,Kilogram,,,,2019-05-21 00:00:00
152011,CW207526,3,1,,23,Colony weight,Automatic recording,20.6,G167A,Kilogram,,,,2019-05-20 23:00:00
152014,CW207525,3,1,,22,Colony weight,Automatic recording,20.6,G167A,Kilogram,,,,2019-05-20 22:00:00
152017,CW207523,3,1,,20,Colony weight,Automatic recording,20.7,G167A,Kilogram,,,,2019-05-20 20:00:00
152021,CW207521,3,1,,18,Colony weight,Automatic recording,20.3,G167A,Kilogram,,,,2019-05-20 18:00:00
152024,CW207519,3,1,,16,Colony weight,Automatic recording,19.8,G167A,Kilogram,,,,2019-05-20 16:00:00
152028,CW207517,3,1,,14,Colony weight,Automatic recording,19.4,G167A,Kilogram,,,,2019-05-20 14:00:00
152031,CW207515,3,1,,11,Colony weight,Automatic recording,19.0,G167A,Kilogram,,,,2019-05-20 11:00:00
152035,CW207513,3,1,,9,Colony weight,Automatic recording,18.9,G167A,Kilogram,,,,2019-05-20 09:00:00
152039,CW207511,3,1,,7,Colony weight,Automatic recording,19.0,G167A,Kilogram,,,,2019-05-20 07:00:00
